username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
JosineideSF;2015-02-22 18:36;2;0;"55% dos profissionais de TI sofrem bullying no trabalho http://exame.abril.com.br/carreira/noticias/55-dos-profissionais-de-ti-sofrem-bullying-no-trabalho …";;;;"569611743565090816";https://twitter.com/JosineideSF/status/569611743565090816
JosineideSF;2015-02-20 20:36;0;0;"55% dos profissionais de TI sofrem bullying no trabalho http://exame.abril.com.br/carreira/noticias/55-dos-profissionais-de-ti-sofrem-bullying-no-trabalho …";;;;"568901966618886144";https://twitter.com/JosineideSF/status/568901966618886144
Robson_Pedroso;2015-02-19 19:28;0;0;"“ @ olhardigital: Pesquisa mostra que profissionais de TI sofrem bullying dos colegas de trabalho http://bit.ly/1DEWeQQ ”";;@;;"568522466580000769";https://twitter.com/Robson_Pedroso/status/568522466580000769
ProgramadorREAL;2015-02-19 12:27;6;6;"O nome é "assédio moral" RT @ _INFO: Mais da metade dos profissionais de TI sofre bullying no trabalho http://abr.ai/19C5SbU";;@;;"568416667811897344";https://twitter.com/ProgramadorREAL/status/568416667811897344
penduluma_;2015-02-16 06:49;0;0;"É gente sofro bullying no trabalho hshaushsusususu";;;;"567244363072552961";https://twitter.com/penduluma_/status/567244363072552961
exxxxit_;2015-02-12 00:27;0;0;"Sofro bullying no trabalho";;;;"565698567294431233";https://twitter.com/exxxxit_/status/565698567294431233
_mendescrew;2015-02-05 12:55;0;0;"Karate Kid:mlk q sofre bullying conhece velho, sofre exploração do trabalho infantil, fica dopado de chá de bonsai e acerta golpe nada a ver";;;;"563350329534980096";https://twitter.com/_mendescrew/status/563350329534980096
ddlwithlana;2015-01-28 15:44;0;0;"Quando eu estava no oitavo ano fiz um trabalho sobre bullying e fiz sobre quem ? DEMI o trabalho ficou perfeito cara";;;;"560493554632765440";https://twitter.com/ddlwithlana/status/560493554632765440
djpereraR;2015-01-24 10:49;0;0;"5-Cheguei no trabalho com o cabelo zuado, de chinelos e carregando a bagagem toda, óbvio que sofri bullying";;;;"558969783694426112";https://twitter.com/djpereraR/status/558969783694426112
hmmvi;2015-01-14 18:48;0;0;"Até no trabalho tem bullying por causa da minha cor, primeiro dia e o assunto foi minha negrisse kkkkk";;;;"555466549621166080";https://twitter.com/hmmvi/status/555466549621166080
Gabi_sales1;2015-01-12 22:10;0;0;"Oi gente! Tô aqui rural na aula de psicologia, acabei de apresentar um trabalho sobre bullying e foi bom";;;;"554792572024279042";https://twitter.com/Gabi_sales1/status/554792572024279042
